source_dataset,source_row_id,property_family,governorate,delegation,city,location,surface_m2,rooms,bathrooms,price_tnd
property_prices_in_tunisia,203,house,Ariana,La Soukra,La Soukra,La Soukra,260.0,4.0,1.0,650000.0
property_prices_in_tunisia,206,apartment,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,85.0,3.0,1.0,150000.0
property_prices_in_tunisia,221,apartment,Ariana,Ariana,Ariana,Ariana,52.0,2.0,1.0,85000.0
property_prices_in_tunisia,222,apartment,Ariana,Ariana,Ariana,Ariana,120.0,3.0,2.0,245000.0
property_prices_in_tunisia,225,apartment,Ariana,Ariana,Ariana,Ariana,153.0,3.0,2.0,339000.0
property_prices_in_tunisia,226,apartment,Ariana,Ghazela,Ghazela,Ghazela,115.0,2.0,1.0,168000.0
property_prices_in_tunisia,227,house,Ariana,Ariana,Ariana,Ariana,609.0,3.0,2.0,540000.0
property_prices_in_tunisia,228,house,Ariana,Ariana,Ariana,Ariana,161.0,3.0,2.0,370000.0
property_prices_in_tunisia,229,apartment,Ariana,Raoued,Raoued,Raoued,100.0,3.0,1.0,125000.0
property_prices_in_tunisia,230,apartment,Ariana,Ariana,Ariana,Ariana,70.0,2.0,1.0,230000.0
property_prices_in_tunisia,232,house,Ariana,Ariana,Ariana,Ariana,1078.0,3.0,4.0,1700000.0
property_prices_in_tunisia,235,apartment,Ariana,Ghazela,Ghazela,Ghazela,125.0,3.0,2.0,210000.0
property_prices_in_tunisia,238,house,Ariana,Ghazela,Ghazela,Ghazela,400.0,3.0,2.0,650000.0
property_prices_in_tunisia,239,house,Ariana,Ghazela,Ghazela,Ghazela,410.0,4.0,2.0,530000.0
property_prices_in_tunisia,241,house,Ariana,Ghazela,Ghazela,Ghazela,120.0,4.0,2.0,175000.0
property_prices_in_tunisia,246,apartment,Ariana,Ennasr,Ennasr,Ennasr,157.0,4.0,2.0,441000.0
property_prices_in_tunisia,247,apartment,Ariana,La Soukra,La Soukra,La Soukra,187.0,3.0,2.0,570000.0
property_prices_in_tunisia,248,apartment,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,57.0,1.0,1.0,145000.0
property_prices_in_tunisia,250,house,Ariana,La Soukra,La Soukra,La Soukra,327.0,5.0,3.0,840000.0
property_prices_in_tunisia,261,apartment,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,126.0,2.0,2.0,330000.0
property_prices_in_tunisia,262,house,Ariana,Ghazela,Ghazela,Ghazela,220.0,5.0,3.0,480000.0
property_prices_in_tunisia,264,apartment,Ariana,Ennasr,Ennasr,Ennasr,163.0,3.0,2.0,340000.0
property_prices_in_tunisia,270,apartment,Ariana,Ennasr,Ennasr,Ennasr,105.0,2.0,1.0,220000.0
property_prices_in_tunisia,271,apartment,Ariana,Ariana,Ariana,Ariana,153.0,4.0,1.0,360000.0
property_prices_in_tunisia,273,apartment,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,120.0,2.0,1.0,230000.0
property_prices_in_tunisia,281,house,Ariana,La Soukra,La Soukra,La Soukra,380.0,5.0,4.0,760000.0
property_prices_in_tunisia,284,apartment,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,100.0,2.0,1.0,90000.0
property_prices_in_tunisia,285,apartment,Ariana,La Soukra,La Soukra,La Soukra,140.0,3.0,2.0,290000.0
property_prices_in_tunisia,287,apartment,Ariana,Ennasr,Ennasr,Ennasr,170.0,4.0,2.0,295000.0
property_prices_in_tunisia,288,apartment,Ariana,Ariana,Ariana,Ariana,76.0,3.0,1.0,120000.0
property_prices_in_tunisia,289,house,Ariana,Ariana,Ariana,Ariana,686.0,5.0,3.0,750000.0
property_prices_in_tunisia,290,apartment,Ariana,Ennasr,Ennasr,Ennasr,160.0,3.0,1.0,310000.0
property_prices_in_tunisia,291,apartment,Ariana,Borj Louzir,Borj Louzir,Borj Louzir,130.0,4.0,1.0,95000.0
property_prices_in_tunisia,295,apartment,Ariana,La Soukra,La Soukra,La Soukra,100.0,2.0,2.0,310000.0
property_prices_in_tunisia,297,house,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,350.0,5.0,2.0,310000.0
property_prices_in_tunisia,299,apartment,Ariana,Chotrana,Chotrana,Chotrana,72.0,2.0,1.0,160000.0
