id_annonce;source_dataset;titre;type_bien;type_transaction;prix_tnd;prix_texte_brut;gouvernorat;ville;quartier;adresse_brute;surface_habitable_m2;surface_terrain_m2;nb_pieces;nb_chambres;nb_salles_bain;meuble;terrasse;securite;latitude;longitude;zone_littorale;moyens_paiement;telephone;date_publication;date_extraction;url_annonce;log_prix;piscine;garage;climatisation;jardin
24167;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;400000.0;Non précisé;Tunis;Ain Zaghouan;Ain Zaghouan;Non précisé;148.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;06/10/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24176;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;335000.0;Non précisé;Tunis;El Omrane;El Omrane;Non précisé;210.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;19/08/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24188;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;150000.0;Non précisé;Ariana;Ariana Ville;Ariana Ville;Non précisé;105.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;21/11/2022;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24191;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;140000.0;Non précisé;Ariana;Raoued;Raoued;Non précisé;98.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;07/11/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24192;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;270000.0;Non précisé;Ariana;Ariana Ville;Ariana Ville;Non précisé;85.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;04/12/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24194;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;115000.0;Non précisé;Ben Arous;El Mourouj;El Mourouj;Non précisé;80.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;30/10/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24209;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;200000.0;Non précisé;Tunis;Carthage;Carthage;Non précisé;80.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;16/04/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24211;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;300000.0;Non précisé;Nabeul;Hammamet;Hammamet;Non précisé;70.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;25/03/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24227;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;199000.0;Non précisé;Sfax;Sfax Est;Sfax Est;Non précisé;126.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;27/11/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24231;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;735000.0;Non précisé;Tunis;Ain Zaghouan;Ain Zaghouan;Non précisé;158.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;24/11/2021;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24237;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;879000.0;Non précisé;Ariana;La Soukra;La Soukra;Non précisé;209.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;17/11/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24240;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;581000.0;Non précisé;Nabeul;Nabeul;Nabeul;Non précisé;299.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;13/12/2022;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24248;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;890000.0;Non précisé;Tunis;Ain Zaghouan;Ain Zaghouan;Non précisé;220.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;03/08/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24256;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;285000.0;Non précisé;Tunis;El Menzah;El Menzah;Non précisé;150.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;10/07/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24260;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;530000.0;Non précisé;Tunis;La Marsa;La Marsa;Non précisé;192.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;17/11/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24264;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;700000.0;Non précisé;Tunis;La Marsa;La Marsa;Non précisé;100.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;11/04/2022;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24266;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;350000.0;Non précisé;Sousse;Sousse Ville;Sousse Ville;Non précisé;106.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;28/09/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24277;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;450000.0;Non précisé;Ben Arous;Fouchana;Fouchana;Non précisé;225.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;09/11/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24280;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;180000.0;Non précisé;Ariana;Raoued;Raoued;Non précisé;78.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;16/10/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24290;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;135000.0;Non précisé;Ben Arous;El Mourouj;El Mourouj;Non précisé;91.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;07/09/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24295;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;560000.0;Non précisé;Ariana;Ariana Ville;Ariana Ville;Non précisé;193.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;02/12/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24296;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;560000.0;Non précisé;Ariana;Ariana Ville;Ariana Ville;Non précisé;201.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;17/10/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24308;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;240000.0;Non précisé;Tunis;Bab Bhar;Bab Bhar;Non précisé;94.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;21/09/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
