property_type,bedrooms,bathrooms,surface_m2,price,city,neighborhood,log_price
Apartment,3.0,1.0,76.0,120000.0,Ariana,Ariana,5.079181246047625
Villa,5.0,3.0,686.0,750000.0,Ariana,Ariana,5.8750612633917
Apartment,3.0,1.0,160.0,310000.0,Ariana,Ennasr,5.491361693834273
Apartment,4.0,1.0,130.0,95000.0,Ariana,Borj Louzir,4.977723605288848
Apartment,2.0,2.0,100.0,310000.0,Ariana,La Soukra,5.491361693834273
Villa,5.0,2.0,350.0,310000.0,Ariana,Jardins D'el Menzah,5.491361693834273
Apartment,2.0,1.0,72.0,160000.0,Ariana,Chotrana,5.204119982655925
Apartment,3.0,1.0,110.0,220000.0,Ariana,Borj Louzir,5.342422680822207
Apartment,3.0,1.0,170.0,350000.0,Ariana,Ennasr,5.544068044350276
Villa,5.0,1.0,240.0,280000.0,Ariana,Raoued,5.447158031342219
Apartment,2.0,1.0,120.0,280000.0,Ariana,La Soukra,5.447158031342219
Villa,5.0,3.0,250.0,410000.0,Ariana,La Soukra,5.612783856719736
Apartment,3.0,2.0,155.0,300000.0,Ariana,La Soukra,5.477121254719663
Villa,7.0,2.0,401.0,550000.0,Ariana,Ariana,5.740362689494244
Apartment,3.0,2.0,175.0,440000.0,Ariana,Autres villes,5.643452676486188
Apartment,3.0,1.0,170.0,350000.0,Ariana,Ennasr,5.544068044350276
Apartment,2.0,2.0,140.0,240000.0,Ariana,La Soukra,5.380211241711606
Apartment,4.0,1.0,100.0,170000.0,Ariana,Borj Louzir,5.230448921378274
Apartment,4.0,3.0,174.0,500000.0,Ariana,La Soukra,5.698970004336019
Apartment,2.0,1.0,107.0,220000.0,Ariana,La Soukra,5.342422680822207
Apartment,2.0,2.0,122.0,268000.0,Ariana,La Soukra,5.4281347940287885
Villa,6.0,5.0,520.0,1350000.0,Ariana,La Soukra,6.130333768495007
Apartment,2.0,2.0,115.0,310000.0,Ariana,La Soukra,5.491361693834273
Apartment,3.0,2.0,200.0,355000.0,Ariana,Ennasr,5.550228353055094
Apartment,2.0,1.0,90.0,135000.0,Ariana,Borj Louzir,5.130333768495007
Apartment,3.0,3.0,187.0,465000.0,Ariana,Ennasr,5.6674529528899535
Apartment,3.0,3.0,191.0,370000.0,Ariana,Ennasr,5.568201724066995
Apartment,2.0,1.0,120.0,270000.0,Ariana,Ennasr,5.431363764158987
